Student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
S1,1,1,1,1,0,1,1,1,1,1
S2,1,0,1,1,0,1,0,1,0,1
S3,1,1,0,1,0,0,1,1,1,0
S4,1,1,1,1,1,1,0,1,1,1
S5,1,1,1,0,1,1,1,0,1,1
S6,0,1,1,1,1,0,0,1,1,1
S7,0,1,0,0,1,1,0,1,0,0
S8,0,0,0,1,0,0,0,1,0,1
S9,1,1,1,1,0,1,1,0,1,1
S10,1,1,1,1,1,1,1,1,1,1
S11,1,0,0,0,1,0,0,0,0,0
S12,1,0,1,0,1,1,0,1,1,1
S13,1,1,0,1,0,1,0,1,1,1
S14,0,1,1,1,1,0,1,1,1,1
S15,1,1,1,1,1,1,1,1,1,1
S16,1,0,1,1,1,1,1,1,1,0
S17,1,1,1,1,1,1,1,1,1,1
S18,1,1,1,0,1,0,0,0,1,0
S19,1,1,0,1,1,0,1,1,1,1
S20,0,0,1,0,0,1,0,0,1,0
